Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
92,93.1,0.25,83.84,1.7,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
93,94.61,0.29,83.61,1.43,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
94,98.32,0.19,82.04,1.21,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
95,98.63,0.13,81.82,0.87,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
96,84.29,0.36,83.05,1.42,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
97,86.25,0.45,82.82,1.44,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
98,88.92,0.2,83.95,1.33,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
99,90.57,0.17,83.5,1.37,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
100,92.73,0.31,83.27,1.1,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
101,94.36,0.27,82.94,1.18,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
102,98.57,0.16,80.92,1.3,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
103,98.63,0.13,81.14,1.24,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
104,84.09,0.39,83.16,1.48,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
105,86.11,0.43,83.05,1.52,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
106,88.38,0.27,83.5,1.6,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
107,89.76,0.31,83.61,1.54,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
108,91.53,0.24,82.49,1.35,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
109,93.38,0.3,82.71,1.27,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
110,94.95,0.11,81.48,1.1,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
111,94.98,0.09,81.03,1.14,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
112,84.26,0.36,83.05,1.42,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
113,86.22,0.47,82.71,1.49,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
114,88.94,0.22,83.95,1.24,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
115,90.57,0.17,83.27,1.39,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
116,92.7,0.29,83.5,1.21,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
117,94.36,0.33,83.05,1.09,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
118,98.54,0.15,81.48,1.46,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
119,98.63,0.13,81.25,1.33,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
120,84.26,0.36,83.05,1.42,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
121,86.22,0.47,82.71,1.49,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
122,88.94,0.22,83.95,1.24,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
123,90.57,0.17,83.27,1.39,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
124,92.7,0.29,83.5,1.21,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
125,94.39,0.32,83.05,1.09,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
126,98.54,0.15,81.48,1.46,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
127,98.63,0.13,81.25,1.33,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
128,84.26,0.34,83.05,1.42,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
129,86.36,0.4,82.94,1.52,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
130,88.83,0.22,84.06,1.38,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
131,90.66,0.25,83.83,1.14,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
132,92.42,0.38,83.61,1.26,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
133,93.97,0.3,83.05,1.29,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
134,98.57,0.16,81.36,1.38,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
135,98.63,0.13,80.8,1.63,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
136,84.2,0.32,83.27,1.53,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
137,85.8,0.44,83.39,1.68,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
138,88.13,0.33,83.5,1.6,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
139,89.95,0.27,83.72,1.62,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
140,91.36,0.12,83.61,1.33,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
141,93.07,0.22,82.49,1.34,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
142,95.03,0.12,80.91,1.41,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
143,95.03,0.12,81.36,1.47,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
144,84.26,0.34,83.05,1.42,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
145,86.36,0.42,82.94,1.52,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
146,88.92,0.22,83.95,1.34,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
147,90.66,0.25,83.95,1.2,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
148,92.45,0.37,83.5,1.44,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
149,93.97,0.28,83.16,1.44,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
150,98.57,0.16,81.92,1.41,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
151,98.63,0.13,81.59,1.63,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
152,84.26,0.34,83.05,1.42,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
153,86.36,0.42,82.94,1.52,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
154,88.86,0.21,83.95,1.34,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
155,90.66,0.25,83.95,1.2,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
156,92.45,0.37,83.5,1.44,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
157,94.0,0.27,83.05,1.49,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
158,98.57,0.16,81.92,1.41,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
159,98.63,0.13,81.59,1.63,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
160,84.26,0.35,82.94,1.37,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
161,85.69,0.31,82.94,1.59,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
162,88.16,0.23,83.83,1.64,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
163,91.16,0.14,83.39,1.17,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
164,92.68,0.38,82.94,1.18,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
165,94.53,0.27,83.16,1.47,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
166,98.54,0.16,82.04,1.3,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
167,98.63,0.13,81.25,1.23,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
168,83.92,0.38,83.16,1.48,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
169,85.35,0.52,82.82,1.5,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
170,87.71,0.4,82.71,1.46,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
171,90.15,0.23,83.27,1.36,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
172,91.44,0.19,82.71,1.45,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
173,92.7,0.33,82.83,1.4,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
174,95.03,0.12,81.37,1.0,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
175,95.03,0.12,81.03,1.06,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
176,84.26,0.35,82.94,1.37,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
177,85.69,0.29,82.94,1.59,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
178,88.16,0.23,83.83,1.64,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
179,91.19,0.22,83.61,1.25,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
180,92.56,0.4,83.05,1.3,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
181,94.5,0.28,83.16,1.35,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
182,98.54,0.16,82.94,1.08,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
183,98.63,0.13,82.04,1.12,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
